block_id,duration_sec,duration_min,frame_count,concentration_mean,concentration_std,concentration_min,concentration_max,concentration_median,blink_count_max,blink_count_final,long_close_count,ear_mean,ear_std,gaze_offlvl_mean,gaze_offlvl_max,alert_count
1,116.51313543319702,1.9418855905532837,3498,0.9408233276281067,0.19002058370310498,0.0516544097444962,1.0,0.9997860388873122,30,30,199,0.4239338353323146,0.01843186398589541,0.022298456215067812,0.814697981114816,0
2,59.70775532722473,0.9951292554537455,1793,0.930340211918787,0.08800836958105836,0.7240099994787357,0.999999999999058,0.9910598494365367,60,60,0,0.42957681912348544,0.019436766796861696,0.3067484663297691,0.999999998461684,0
3,62.17093062400818,1.036182177066803,1867,0.06979599880027182,0.24886674839019254,4.440892098500626e-16,0.9999999999993647,4.440892098500626e-16,60,60,1735,0.387381211164861,0.012079095615890923,0.9308870841517306,0.9999999999999994,1
4,127.27967762947083,2.1213279604911803,3821,0.8014895276708192,0.33744545685040245,0.007541377707025565,1.0,0.991503362983116,72,72,732,0.4136915538434491,0.02778347840530036,0.17273790529621227,0.9902156123488564,2
