ts,row_type,session,participant,task,phase,block_id,ear,ear_base,ear_thr,blink_count,is_closed,long_close,gaze,gaze_thr,gaze_bias,gaze_y,gaze_y_thr,gaze_bias_y,gaze_offlvl,risk,alert,event,info
1767599523.901823,meta,,,,eval,,,,,,,,,,,,,,,,,meta,"{'session': None, 'participant': None, 'task': None, 'phase': 'eval', 'ear_threshold_ratio': 0.9, 'ear_baseline_init': 0.45, 'concentration_threshold': 0.44999999999999996, 'start_time': '2026-01-05T16:52:03.901803', 'start_timestamp': 1767599523.9018207}"
1767599523.9020355,event,,,,eval,1,,,,,,,,,,,,,block_start,block=1
1767599523.9325645,frame,,,,eval,1,0.43660818445972394,0.45,0.405,0,False,False,0.02575938034895131,0.35,-4.8941132301880526,0.01549317730177904,0.25,0.02330572042488827,2.0815993780274557e-14,5.65543087353898e-15,0,,
1767599523.9648807,frame,,,,eval,1,0.4369473566989178,0.45,0.405,0,False,False,0.017928480808033775,0.35,-4.8941132301880526,0.015795284776963025,0.25,0.02330572042488827,1.8734394402247102e-14,5.082865275612112e-15,0,,
1767599523.9975348,frame,,,,eval,1,0.4359629287939175,0.45,0.405,0,False,False,0.025218855599954182,0.35,-4.8941132301880526,0.016482807374383786,0.25,0.02330572042488827,1.6860954962022392e-14,4.5696629906498214e-15,0,,
1767599524.0313902,frame,,,,eval,1,0.43557272931165525,0.45,0.405,0,False,False,0.035051408213089275,0.35,-4.8941132301880526,0.01180529435021278,0.25,0.02330572042488827,1.5174859465820152e-14,4.109255661404084e-15,0,,
1767599524.0637336,frame,,,,eval,1,0.43556285187338073,0.45,0.405,0,False,False,0.04317324145921653,0.35,-4.8941132301880526,0.00785884097259015,0.25,0.02330572042488827,1.3657373519238137e-14,3.695921374137146e-15,0,,
1767599524.1015475,frame,,,,eval,1,0.43589584931686665,0.45,0.405,0,False,False,0.040595698918740375,0.35,-4.8941132301880526,0.007412895921991423,0.25,0.02330572042488827,1.2291636167314324e-14,3.3246431319348618e-15,0,,
1767599524.1329947,frame,,,,eval,1,0.43773628251144026,0.45,0.405,0,False,False,0.02959772912501535,0.35,-4.8941132301880526,0.010245680839356276,0.25,0.02330572042488827,1.1062472550582891e-14,2.9909985453893768e-15,0,,
1767599524.162927,frame,,,,eval,1,0.4365054547594117,0.45,0.405,0,False,False,0.046440687563979566,0.35,-4.8941132301880526,0.007755660012109488,0.25,0.02330572042488827,9.956225295524602e-15,2.6910724995040397e-15,0,,
1767599524.197261,frame,,,,eval,1,0.43564010781770224,0.45,0.405,0,False,False,0.049790081177515155,0.35,-4.8941132301880526,0.0036104700086913265,0.25,0.02330572042488827,8.960602765972142e-15,2.421386915611156e-15,0,,
1767599524.2296152,frame,,,,eval,1,0.4365893501711601,0.45,0.405,0,False,False,0.05592590380094009,0.35,-4.8941132301880526,0.0032097268130242274,0.25,0.02330572042488827,8.064542489374927e-15,2.1788433902903047e-15,0,,
1767599524.2647846,frame,,,,eval,1,0.43762521792892667,0.45,0.405,0,False,False,0.05461854903598784,0.35,-4.8941132301880526,0.006019343514053366,0.25,0.02330572042488827,7.258088240437435e-15,1.9606756676294593e-15,0,,
1767599524.2981522,frame,,,,eval,1,0.4298745135458716,0.45,0.405,0,False,False,0.0515509709359705,0.35,-4.8941132301880526,0.005559003217198686,0.25,0.02330572042488827,6.5322794163936914e-15,1.7644097323242428e-15,0,,
1767599524.33097,frame,,,,eval,1,0.3919572858874355,0.45,0.405,0,True,False,0.07358345944162181,0.35,-4.8941132301880526,-0.004492185257295972,0.25,0.02330572042488827,5.879051474754322e-15,0.030000000000001588,0,,
1767599524.3632185,frame,,,,eval,1,0.37784187198178554,0.45,0.405,0,True,False,0.1265853843025635,0.35,-4.8941132301880526,-0.02389187229937729,0.25,0.02330572042488827,5.2911463272788904e-15,0.05100000000000143,0,,
1767599524.3956547,frame,,,,eval,1,0.39213757227071094,0.45,0.405,0,True,False,0.07831797370753435,0.35,-4.8941132301880526,-0.029037685870848297,0.25,0.02330572042488827,4.762031694551001e-15,0.06570000000000129,0,,
1767599524.4319682,frame,,,,eval,1,0.40533432621904353,0.45,0.405,1,False,False,0.04152613250415804,0.35,-4.8941132301880526,-0.023400737908785076,0.25,0.02330572042488827,4.285828525095901e-15,0.045990000000001155,0,,
1767599524.465212,frame,,,,eval,1,0.41829649610372166,0.45,0.405,1,False,False,0.006571201883874167,0.35,-4.8941132301880526,-0.0046400067471157845,0.25,0.02330572042488827,3.857245672586311e-15,0.03219300000000103,0,,
1767599524.4957852,frame,,,,eval,1,0.4253897272780973,0.45,0.405,1,False,False,0.008827791939753915,0.35,-4.8941132301880526,0.0019704720330445923,0.25,0.02330572042488827,3.4715211053276804e-15,0.02253510000000093,0,,
1767599524.5291984,frame,,,,eval,1,0.4293076636805758,0.45,0.405,1,False,False,0.006525076307244859,0.35,-4.8941132301880526,0.003808013813377361,0.25,0.02330572042488827,3.1243689947949124e-15,0.015774570000000838,0,,
1767599524.5627923,frame,,,,eval,1,0.43089838794756635,0.45,0.405,1,False,False,0.0031020710124156636,0.35,-4.8941132301880526,0.005198933398282948,0.25,0.02330572042488827,2.8119320953154212e-15,0.011042199000000754,0,,
1767599524.596145,frame,,,,eval,1,0.43141099345102196,0.45,0.405,1,False,False,-0.000929363675820305,0.35,-4.8941132301880526,0.007118036234395046,0.25,0.02330572042488827,2.5307388857838792e-15,0.0077295393000006785,0,,
1767599524.6344602,frame,,,,eval,1,0.43241593367280595,0.45,0.405,1,False,False,0.006108453551698645,0.35,-4.8941132301880526,0.0035499017606079944,0.25,0.02330572042488827,2.2776649972054913e-15,0.005410677510000612,0,,
1767599524.669015,frame,,,,eval,1,0.43412042450061905,0.45,0.405,1,False,False,-0.010779578351355568,0.35,-4.8941132301880526,0.008244735270514402,0.25,0.02330572042488827,2.049898497484942e-15,0.0037874742570005514,0,,
