ts,row_type,session,participant,task,phase,block_id,ear,ear_base,ear_thr,blink_count,is_closed,long_close,gaze,gaze_thr,gaze_bias,gaze_offlvl,risk,alert,event,info
1763960288.9385467,meta,,,,train,,,,,,,,,,,,,,meta,"{'session': None, 'participant': None, 'task': None, 'phase': 'train', 'calib_seconds': 60, 'model_load': 'models/P01.json'}"
1763960289.1356063,frame,,,,train,,0.5530672930774027,0.45515336465387013,0.36412269172309614,0,False,False,-1.5725742399117166,0.35,0.0,0.1,0.006000000000000001,0,,
1763960289.2265828,frame,,,,train,,0.5511968683845121,0.4600303568281178,0.36802428546249427,0,False,False,-2.6565587669543462,0.35,0.0,0.19,0.015600000000000003,0,,
1763960289.2525015,frame,,,,train,,0.4856245036236434,0.4639928123485013,0.37119424987880106,0,False,False,-3.3052819574361774,0.35,0.0,0.271,0.027180000000000003,0,,
1763960289.285808,frame,,,,train,,0.48527731696674553,0.46721712359017525,0.37377369887214024,0,False,False,-3.704325914885673,0.35,0.0,0.34390000000000004,0.03966,0,,
1763960289.3180666,frame,,,,train,,0.48628039964386116,0.4698582328943843,0.3758865863155074,0,False,False,-3.9703807178144626,0.35,0.0,0.40951000000000004,0.05233260000000001,0,,
1763960289.3494847,frame,,,,train,,0.4881250797328437,0.47204814443396775,0.3776385155471742,0,False,False,-4.135671860910522,0.35,0.0,0.46855900000000006,0.06474636,0,,
1763960289.3833344,frame,,,,train,,0.4835263655557598,0.47382725941526904,0.37906180753221524,0,False,False,-4.262291556083212,0.35,0.0,0.5217031000000001,0.076624638,0,,
1763960289.4295006,frame,,,,train,,0.49674825910182996,0.4754085967979237,0.380326877438339,0,False,False,-4.328407242931697,0.35,0.0,0.5695327900000001,0.087809214,0,,
1763960289.4621186,frame,,,,train,,0.49586939212958325,0.4768150211620578,0.38145201692964625,0,False,False,-4.370971109664875,0.35,0.0,0.6125795110000001,0.09822122046000001,0,,
1763960289.4944174,frame,,,,train,,0.4971654704148636,0.4780874081713278,0.38246992653706224,0,False,False,-4.383366781354577,0.35,0.0,0.6513215599000001,0.107834147916,0,,
1763960289.5262322,frame,,,,train,,0.4943873187847987,0.4792174214045077,0.3833739371236062,0,False,False,-4.402269575725528,0.35,0.0,0.68618940391,0.1166552677758,0,,
1763960289.5588706,frame,,,,train,,0.502082705260661,0.4803606855973153,0.38428854847785227,0,False,False,-4.42540802208616,0.35,0.0,0.717570463519,0.1247129152542,0,,
1763960289.5894287,frame,,,,train,,0.5001728112280115,0.4813830466025326,0.3851064372820261,0,False,False,-4.444508077904358,0.35,0.0,0.7458134171671,0.132047845707966,0,,
1763960289.6217911,frame,,,,train,,0.5004949148348228,0.48235115964882064,0.3858809277190565,0,False,False,-4.456441243987703,0.35,0.0,0.7712320754503901,0.1387074165225996,0,,
1763960289.6541095,frame,,,,train,,0.5025047791287153,0.48335884062281537,0.3866870724982523,0,False,False,-4.462048533810153,0.35,0.0,0.7941088679053511,0.1447417236401408,0,,
1763960289.685715,frame,,,,train,,0.5024850537662403,0.4843151512799866,0.3874521210239893,0,False,False,-4.469951142473316,0.35,0.0,0.814697981114816,0.1502010854149875,0,,
1763960289.7187054,frame,,,,train,,0.5025883591384421,0.4852288116729093,0.3881830493383275,0,False,False,-4.460844272229336,0.35,0.0,0.8332281830033343,0.15513445077069132,0,,
1763960289.7499177,frame,,,,train,,0.5097554657772053,0.4864551443781241,0.3891641155024993,0,False,False,-4.478956808531603,0.35,0.0,0.8499053647030009,0.15958843742166398,0,,
1763960289.797608,frame,,,,train,,0.522342569701751,0.48824951564430547,0.3905996125154444,0,False,False,-4.489700520783367,0.35,0.0,0.8649148282327008,0.16360679588912683,0,,
1763960289.8298042,frame,,,,train,,0.5309477051535396,0.49038442511976715,0.39230754009581376,0,False,False,-4.516780096243983,0.35,0.0,0.8784233454094308,0.1672301578469546,0,,
1763960289.8624942,frame,,,,train,,0.537053677155565,0.492717887721557,0.39417431017724563,0,False,False,-4.541918085673165,0.35,0.0,0.8905810108684877,0.17049597114497747,0,,
1763960289.8942606,frame,,,,train,,0.5507558782640015,0.49561978724867917,0.3964958297989434,0,False,False,-4.571322629685372,0.35,0.0,0.901522909781639,0.17343855438838257,0,,
1763960289.9258857,frame,,,,train,,0.5415575829923619,0.4979166770358633,0.39833334162869066,0,False,False,-4.581830738922888,0.35,0.0,0.911370618803475,0.1760892252000763,0,,
1763960289.9596531,frame,,,,train,,0.5440214600762103,0.5002219161878806,0.4001775329503045,0,False,False,-4.620609179901571,0.35,0.0,0.9202335569231275,0.17847647105544107,0,,
1763960289.9897652,frame,,,,train,,0.5475125117401497,0.5025864459654941,0.4020691567723953,0,False,False,-4.6421408506501045,0.35,0.0,0.9282102012308148,0.18062614181265763,0,,
1763960290.021711,frame,,,,train,,0.5514897837779953,0.5050316128561191,0.4040252902848953,0,False,False,-4.658246203185323,0.35,0.0,0.9353891811077333,0.18256165013532433,0,,
1763960290.0524032,frame,,,,train,,0.5439353532311999,0.5069767998748731,0.4055814398998985,0,False,False,-4.644645568294128,0.35,0.0,0.94185026299696,0.18430417087454462,0,,
1763960290.085179,frame,,,,train,,0.536264612408232,0.5085414672178873,0.40683317377430983,0,False,False,-4.619543907841145,0.35,0.0,0.947665236697264,0.18587283381401706,0,,
1763960290.1188664,frame,,,,train,,0.5292506145214617,0.5099377058716138,0.40795016469729106,0,False,False,-4.580667445077842,0.35,0.0,0.9528987130275376,0.1872849064514642,0,,
1763960290.1501296,frame,,,,train,,0.5297048529265453,0.5111965187189953,0.40895721497519627,0,False,False,-4.570714446610016,0.35,0.0,0.9576088417247838,0.18855596501951197,0,,
1763960290.1974633,frame,,,,train,,0.5290545707632653,0.5123317970034479,0.40986543760275834,0,False,False,-4.564675264116482,0.35,0.0,0.9618479575523053,0.1897000529667967,0,,
1763960290.2287238,frame,,,,train,,0.5301313990937007,0.5133726045205345,0.41069808361642757,0,False,False,-4.5533780058894,0.35,0.0,0.9656631617970748,0.19072982678458217,0,,
1763960290.2623177,frame,,,,train,,0.525449193426718,0.514284384122582,0.41142750729806565,0,False,False,-4.520257283455333,0.35,0.0,0.9690968456173673,0.19165668948624953,0,,
1763960290.2929478,frame,,,,train,,0.5329544667100585,0.5152178882519558,0.4121743106015647,0,False,False,-4.493602476054754,0.35,0.0,0.9721871610556305,0.1924909123037125,0,,
1763960290.3261917,frame,,,,train,,0.5311110028815273,0.5160432018918213,0.41283456151345704,0,False,False,-4.458599269423329,0.35,0.0,0.9749684449500675,0.1932417453096028,0,,
1763960290.35887,frame,,,,train,,0.5213032404029899,0.5167230406432307,0.4133784325145846,0,False,False,-4.469382265808861,0.35,0.0,0.9774716004550608,0.1939175177440256,0,,
1763960290.3907392,frame,,,,train,,0.5286052521083199,0.5173585402089528,0.41388683216716227,0,False,False,-4.481071122145631,0.35,0.0,0.9797244404095546,0.19452572884539118,0,,
1763960290.423553,frame,,,,train,,0.5313998308855752,0.5180606047427839,0.41444848379422716,0,False,False,-4.487056426203998,0.35,0.0,0.9817519963685992,0.1950731299738898,0,,
1763960290.4529123,frame,,,,train,,0.531719373461186,0.518743543178704,0.4149948345429632,0,False,False,-4.494595324480109,0.35,0.0,0.9835767967317393,0.1955657987856272,0,,
1763960290.4851193,frame,,,,train,,0.5346746481970338,0.5195400984296205,0.4156320787436964,0,False,False,-4.506675615841531,0.35,0.0,0.9852191170585654,0.19600920617345294,0,,
1763960290.519419,frame,,,,train,,0.5356497939202179,0.5203455832041504,0.4162764665633203,0,False,False,-4.524975601332101,0.35,0.0,0.9866972053527088,0.19640827664257957,0,,
1763960290.5499973,frame,,,,train,,0.5310007974986808,0.5209186758137755,0.4167349406510204,0,False,False,-4.517598668338875,0.35,0.0,0.9880274848174379,0.19676744273885194,0,,
1763960290.5980978,frame,,,,train,,0.5276335970761286,0.5214213754097141,0.4171371003277713,0,False,False,-4.507946118724559,0.35,0.0,0.9892247363356941,0.19709069409733798,0,,
1763960290.6299105,frame,,,,train,,0.5257172573433354,0.5218463859219638,0.41747710873757105,0,False,False,-4.507044368589489,0.35,0.0,0.9903022627021246,0.19738162163026407,0,,
